"route_id","schedule_date","car_type","route_distance_km","route_minutes","total_orders"
"565450","2019-06-30 08:00:00","Particular","71.862","490.32","54"
"565460","2019-06-30 08:00:00","Particular","55.859","450.77","60"
"565470","2019-06-30 08:00:00","Particular","62.305","397.78","44"
"565480","2019-06-30 08:00:00","Particular","70.094","404.48","43"
"565490","2019-06-30 08:00:00","Particular","43.297","361.67","45"
"565500","2019-06-30 08:00:00","Particular","122.662","529.38","46"
"565510","2019-06-30 08:00:00","Fiorino","95.862","627.47","73"
"565520","2019-06-30 08:00:00","Particular","56.258","387.1","44"
"565530","2019-06-30 08:00:00","Particular","49.727","471.83","60"
"565540","2019-06-30 08:00:00","Particular","148.133","661.95","60"
"565550","2019-06-30 08:00:00","Particular","52.108","431.15","58"
"565560","2019-06-30 08:00:00","Particular","45.951","388.03","52"
"565570","2019-06-30 08:00:00","Particular","50.943","408.7","53"
"565580","2019-06-30 08:00:00","Particular","37.968","401.55","53"
"565590","2019-06-30 08:00:00","Particular","89.290","505.48","47"
"565600","2019-06-30 08:00:00","Particular","47.366","411.12","55"
"565610","2019-06-30 08:00:00","Fiorino Sr","60.048","545.03","69"
"565990","2019-06-30 08:00:00","Fiorino","74.909","332.15","30"
"566000","2019-06-30 08:00:00","Fiorino","71.390","409.08","39"
"566010","2019-06-30 08:00:00","Particular","104.588","524.33","44"
"566020","2019-06-30 08:00:00","Particular","73.208","459.77","46"
"566030","2019-06-30 08:00:00","Particular","66.073","430.05","45"
"566040","2019-06-30 08:00:00","Moto","48.843","182.05","9"
"566050","2019-06-30 08:00:00","Moto","41.600","161.98","7"
"566060","2019-06-30 08:00:00","Particular","78.271","313.72","21"
"566080","2019-06-30 13:00:00","Moto","36.062","108.08","8"
"566090","2019-06-30 13:00:00","Moto","38.850","116.8","7"
"566100","2019-06-30 13:00:00","Moto","46.871","132.5","8"
"566110","2019-06-30 13:00:00","Moto","53.140","140.85","10"
"566120","2019-06-30 13:00:00","Moto","57.352","136.47","10"
"566130","2019-06-30 13:00:00","Moto","33.780","110.04","10"
"566140","2019-06-30 15:45:00","Moto","51.844","129.12","8"
"566150","2019-06-30 10:00:00","Moto","86.523","160.36","7"
"566160","2019-06-30 10:00:00","Moto","68.798","141.73","9"
"566170","2019-06-30 10:00:00","Moto","57.046","111.06","7"
"566180","2019-06-30 15:45:00","Moto","82.520","170.03","8"
"566190","2019-06-30 15:45:00","Particular","84.960","178.28","8"
"566210","2019-06-30 15:45:00","Moto","55.224","199.45","7"
"566220","2019-06-30 15:45:00","Moto","77.987","142.98","6"
"566230","2019-06-30 15:45:00","Moto","88.114","163.48","6"
"566240","2019-06-30 15:45:00","Moto","57.101","121.13","6"
"566250","2019-06-30 15:45:00","Moto","64.906","177.39","7"
"566260","2019-06-30 15:45:00","Moto","65.214","136.95","7"
"566270","2019-06-30 15:45:00","Moto","56.152","144.87","9"
"566280","2019-06-30 15:45:00","Moto","53.212","145.95","8"
"566290","2019-06-30 15:45:00","Particular","90.930","191.24","8"
"566300","2019-06-30 15:45:00","Moto","197.685","427.67","20"
"566310","2019-06-30 15:45:00","Moto","51.070","118.09","6"
"566320","2019-06-30 15:45:00","Moto","94.407","296.28","2"
"566330","2019-06-30 15:45:00","Moto","86.617","140.49","5"
"566340","2019-06-30 15:45:00","Moto","57.658","141.88","10"
"566350","2019-06-30 15:45:00","Moto","46.263","112.68","6"
"566360","2019-06-30 15:45:00","Moto","54.274","117.37","4"
"566370","2019-06-30 15:45:00","Moto","164.242","304.09","10"
"566380","2019-06-30 15:45:00","Moto","64.958","136.61","7"
"566390","2019-06-30 15:45:00","Moto","39.368","92.49","4"
"566400","2019-06-30 15:45:00","Particular","57.014","203.73","5"
"566470","2019-07-30 09:00:00","Particular","28.131","328.57","48"
"566510","2019-06-30 09:53:00","Moto","7.905","18.54","1"
"566520","2019-06-30 09:53:00","Fiorino","15.232","37.58","1"
"566570","2019-06-30 12:00:00","Particular","52.916","242.65","15"
"566580","2019-06-30 14:00:00","Particular","39.519","320.75","40"
"566590","2019-06-30 14:00:00","Particular","42.056","270.7","28"
"566600","2019-06-30 14:00:00","Particular","70.721","249.32","16"
"566610","2019-06-30 14:00:00","Particular","53.082","206.82","11"
"566620","2019-06-30 13:00:00","Moto","34.458","77.94","4"
"566630","2019-06-30 08:00:00","Moto","46.973","77.63","2"
"566640","2019-06-30 14:00:00","Particular","48.496","175.83","8"
"566650","2019-06-30 14:00:00","Particular","39.179","202.47","14"
"566660","2019-06-30 14:00:00","Particular","60.605","175.78","5"
"566710","2019-06-30 14:00:00","Particular","51.174","165.63","10"
"566770","2019-06-30 19:30:00","Fiorino S.C.","24.927","169.87","88"
"566790","2019-06-30 17:00:00","Moto","26.344","65.13","6"
"566800","2019-06-30 17:00:00","Moto","33.857","85.14","8"
"566810","2019-06-30 17:00:00","Moto","46.329","101.77","8"
"566820","2019-06-30 17:00:00","Moto","51.530","198.71","24"
"566830","2019-06-30 17:00:00","Moto","45.066","177.09","25"
"566840","2019-06-30 17:00:00","Moto","36.664","159.88","23"
"566850","2019-06-30 17:00:00","Moto","24.076","118.1","18"
"566860","2019-06-30 17:00:00","Moto","36.982","120.31","15"
"566870","2019-06-30 17:00:00","Moto","21.031","143.04","23"
"566880","2019-06-30 17:00:00","Moto","43.303","197.96","16"
"566890","2019-06-30 17:00:00","Moto","30.813","142.08","20"
"566900","2019-06-30 17:00:00","Moto","34.148","171.53","25"
"566910","2019-06-30 17:00:00","Moto","31.525","162.03","24"
"566920","2019-06-30 17:00:00","Moto","30.102","141.14","17"
"566930","2019-06-30 17:00:00","Moto","19.299","150.73","25"
"566940","2019-06-30 17:00:00","Moto","43.942","190.59","28"
"566950","2019-06-30 17:00:00","Moto","58.454","204.94","27"
"566960","2019-06-30 19:30:00","Fiorino S.C.","24.927","142.87","75"
"566970","2019-06-30 19:30:00","Fiorino S.C.","24.927","191.87","83"
"566980","2019-06-30 15:45:00","Particular","70.951","309.05","16"
"566990","2019-06-30 15:45:00","Particular","66.294","262.27","13"
"567020","2019-06-30 15:00:00","Moto","72.961","132.28","5"
"567050","2019-06-30 17:00:00","Moto","58.906","178.54","20"
"567060","2019-06-30 17:00:00","Particular","57.836","281.88","27"
"567070","2019-06-30 16:00:00","Moto","47.219","88.58","2"
"567100","2019-06-30 17:00:00","Moto","43.181","97.57","8"
"567120","2019-07-01 08:00:00","Próprio","96.282","159.08","2"
"567130","2019-07-01 08:00:00","Moto","56.266","118.42","3"
"567140","2019-07-01 08:00:00","Fiorino S.C.","48.035","181.35","5"
"567150","2019-07-01 08:00:00","Fiorino S.C.","65.617","185.8","5"
"567200","2019-07-01 08:00:00","Particular","82.908","431.92","21"
"567210","2019-07-01 08:00:00","Particular","124.019","568.13","26"
"567220","2019-07-01 08:00:00","Particular","60.398","441.6","26"
"567230","2019-07-01 08:00:00","Particular","70.801","332.78","13"
"567240","2019-07-01 08:00:00","Particular","71.657","401.33","17"
"567250","2019-07-01 08:00:00","Particular","53.819","335.48","14"
"567260","2019-07-01 08:00:00","Particular","83.981","315.62","14"
"567270","2019-07-01 08:00:00","Particular","76.959","631.13","35"
"567310","2019-07-01 08:00:00","Fiorino","175.552","407.9","16"
"567320","2019-07-01 08:00:00","Particular","132.306","324.97","18"
"567330","2019-07-01 08:00:00","Particular","94.166","466.48","49"
"567340","2019-07-01 08:00:00","Particular","68.930","522.92","60"
"567350","2019-07-01 08:00:00","Particular","49.626","436.83","43"
"567360","2019-07-01 08:00:00","Particular","30.548","375.88","51"
"567370","2019-07-01 08:00:00","Particular","67.754","461.3","63"
"567380","2019-07-01 08:00:00","Fiorino S.C.","62.985","474.97","59"
"567390","2019-07-01 08:00:00","Particular","65.064","419.75","48"
"567400","2019-07-01 08:00:00","Particular","92.005","521.02","47"
"567410","2019-07-01 08:00:00","Particular","36.241","368.35","49"
"567420","2019-07-01 08:00:00","Particular","26.623","359.42","47"
"567430","2019-07-01 08:00:00","Particular","32.998","333.17","39"
"567440","2019-07-01 08:00:00","Particular","25.896","208.2","25"
"567450","2019-07-01 08:00:00","Fiorino","44.301","407.62","53"
"567460","2019-07-01 08:00:00","Particular","36.829","382.43","46"
"567470","2019-07-01 08:00:00","Particular","73.816","535.35","50"
"567480","2019-07-01 08:00:00","Particular","67.740","552.38","53"
"567490","2019-07-01 08:00:00","Particular","44.185","394.68","48"
"567500","2019-07-01 08:00:00","Fiorino Sr","42.740","429.3","55"
"567510","2019-07-01 08:00:00","Fiorino","52.954","534.48","70"
"567520","2019-07-01 08:00:00","Particular","89.888","602.63","63"
"567530","2019-07-01 08:00:00","Particular","94.612","538.32","55"
"567540","2019-07-01 08:00:00","Particular","64.949","280.05","25"
"567550","2019-07-01 08:00:00","Fiorino Sr","41.385","209.75","21"
"567560","2019-07-01 08:00:00","Particular","45.757","391","50"
"567570","2019-07-01 08:00:00","Particular","38.908","373.17","51"
"567580","2019-07-01 08:00:00","Particular","58.876","400.27","51"
"567590","2019-07-01 08:00:00","Particular","44.202","374.18","45"
"567600","2019-07-01 08:00:00","Particular","35.112","341.68","33"
"567610","2019-07-01 08:00:00","Particular","59.994","375.87","38"
"567620","2019-07-01 08:00:00","Particular","62.757","440.85","51"
"567630","2019-07-01 08:00:00","Fiorino Sr","56.593","472.08","61"
"567640","2019-07-01 08:00:00","Particular","20.328","194.05","27"
"567650","2019-07-01 08:00:00","Particular","40.698","328.7","41"
"567660","2019-07-01 08:00:00","Fiorino","404.807","973.05","70"
"567670","2019-07-01 08:00:00","Fiorino S.C.","87.368","730.92","89"
"567680","2019-07-01 08:00:00","Fiorino","58.304","511.47","62"
"567690","2019-07-01 08:00:00","Particular","55.056","432.93","58"
"567700","2019-07-01 08:00:00","Particular","25.662","341.88","50"
"567710","2019-07-01 08:00:00","Particular","35.605","368.32","48"
"567720","2019-07-01 08:00:00","Particular","48.231","391.45","54"
"567730","2019-07-01 08:00:00","Particular","55.116","350.25","46"
"567740","2019-07-01 08:00:00","Particular","42.387","425.6","49"
"567750","2019-07-01 08:00:00","Fiorino Sr","31.711","353.15","52"
"567760","2019-07-01 08:00:00","Fiorino","36.293","378.37","51"
"567770","2019-07-01 08:00:00","Particular","55.758","434.13","54"
